"TAHUN","MAHASISWA","SKOR_MAT","SKOR_FIS","SKOR_ING","SKOR_IND","SKOR_SKO","SKOR_SKO_NALAR","SKOR_SKO_PAHAM","SKOR_SKO_BACAAN","SKOR_SKO_KUANTITATIF","SKOR_BENAR_SEMUA","SKOR_TOTAL"
2021,21684,15,18,7.5,6,4,,,,,128,44.72
2021,21595,18,18,10.5,10.5,4,,,,,128,47.66
2021,21484,12,18,9,3,4,,,,,128,41.2
2021,21511,39,18,7.5,7.5,4,,,,,128,59.38
2021,21397,33,27,10.5,4.5,5,,,,,128,62.5
2021,21090,39,42,12,15,13,,,,,212,
2021,21218,33,18,15,18,11,,,,,212,
2021,21206,33,30,13.5,19.5,5,,,,,212,
2021,21079,36,21,9,16.5,13,,,,,212,
2021,21136,36,27,7.5,10.5,13,,,,,212,
2021,21258,48,48,12,15,14,,,,,212,
2021,21359,21,33,12,13.5,12,,,,,212,
2021,21032,48,42,15,15,13,,,,,212,
2021,20997,39,36,15,18,13,,,,,212,
2021,21036,42,30,9,21,9,,,,,212,
2021,21051,48,27,9,13.5,10,,,,,212,
2021,21059,24,33,12,9,14,,,,,212,
2021,21417,36,33,7.5,7.5,7,,,,,128,71.09
2021,21402,30,30,10.5,7.5,8,,,,,128,67.19
2021,21706,21,18,4.5,9,4,,,,,128,44.14
2021,21552,30,27,6,6,6,,,,,128,58.59
2021,21126,15,12,9,12,14,,,,,212,
2021,21288,18,9,6,12,12,,,,,212,
2021,21377,33,21,16.5,9,10,,,,,212,
2021,21201,45,27,12,6,6,,,,,212,
2021,21380,24,36,15,16.5,11,,,,,212,
2021,21053,27,21,7.5,4.5,6,,,,,212,
2021,21023,42,33,7.5,19.5,12,,,,,212,
2021,21237,18,18,4.5,10.5,10,,,,,212,
2021,21344,24,21,9,12,11,,,,,212,
2021,21037,6,21,12,7.5,8,,,,,212,
2021,21607,27,18,7.5,7.5,5,,,,,128,56.05
2021,21606,9,6,7.5,7.5,7,,,,,128,34.17
2021,21611,27,18,6,7.5,7,,,,,128,51.17
2021,21613,24,15,7.5,10.5,7,,,,,128,50
2021,21616,18,24,3,10.5,5,,,,,128,47.27
2021,21187,30,30,10.5,12,13,,,,,212,
2021,21367,36,24,15,15,13,,,,,212,
2021,21097,48,27,10.5,13.5,10,,,,,212,
2021,21423,21,12,3,6,3,,,,,128,35.16
2021,21564,36,24,4.5,12,5,,,,,128,63.67
