"TAHUN","SEMESTER","MAHASISWA","PROSEN_HADIR_RATA_RATA"
2024,2,26550,98.86
2024,2,26342,96.88
2024,2,22758,89.06
2024,2,27095,92.97
2024,2,25770,98.3
2025,1,22440,100
2025,1,25890,100
2025,1,25937,98.75
2025,1,25637,99.43
2025,1,25423,99.38
2025,1,28435,99.48
2025,1,28457,98.96
2025,1,23227,95.31
2025,1,28365,100
2025,1,27587,97.16
2025,1,22509,93.75
2025,1,26093,100
2025,1,25661,99.38
2025,1,25756,97.92
2025,1,26906,88.64
2025,1,23072,40
2021,2,20287,97.92
2021,2,20363,100
2022,1,19099,91.67
2022,1,22442,100
2022,1,22295,100
2022,1,17902,98.44
2022,1,22112,99.38
2022,1,19624,93.75
2022,1,21358,97.92
2022,1,22037,37.5
2022,1,20559,96.88
2022,1,20857,94.53
2022,1,21791,90
2022,1,22604,100
2022,2,22429,95.14
2022,2,23091,95.45
2022,2,21132,98.96
2022,2,22104,92.61
2022,2,21736,92.05
2022,2,22073,98.86
2022,2,19254,25
2022,2,19038,87.5
2023,1,19604,96.09
2023,1,22301,98.44
2023,1,19899,98.75
2023,1,22752,94.38
2023,1,22183,95
2023,1,22818,95.83
2023,1,22544,98.75
2023,1,21564,96.88
2023,1,24929,82.95
2023,2,22453,93.06
2023,2,22853,100
2023,2,19450,100
2023,2,21475,97.92
2023,2,25004,95.14
2023,2,19252,81.25
2023,2,23053,95
2023,2,23640,99.43
2024,1,26894,100
2024,1,26069,98.3
2024,1,23809,95.63
2024,1,23985,99.31
2024,1,26616,97.5
2024,1,23696,89.2
2024,1,25645,97.5
2024,2,22800,90.63
2024,2,23606,89.2
2024,2,25717,99.48
2024,2,23632,98.3
2024,2,22941,97.5
2024,2,27053,96.88
2024,2,26025,96.59
2024,2,25460,100
2024,2,26615,98.13
2024,2,23836,94.38
2024,2,23730,93.75
2025,1,22138,98.21
2025,1,28867,98.75
2025,1,26925,79.69
2025,1,23579,100
2025,1,28555,99.38
2025,1,27522,98.86
2025,1,28914,99.48
2025,1,25584,100
2025,1,22971,97.5
2025,1,28876,98.75
2025,1,28554,99.31
2025,1,27837,97.92
2025,1,27366,94.38
2025,1,26251,95.83
2025,1,26904,98.61
2021,2,20125,100
2022,1,21855,95
2022,1,19897,93.75
2022,1,17759,88.28
2022,1,23104,96.09
