"MAHASISWA","TAHUN","SEMESTER","RATA_NILAI"
24055,2024,2,84.9
24303,2024,2,86
21455,2024,1,68.15
22917,2025,1,
22555,2024,2,82.1
22119,2024,2,87
21013,2024,1,86.75
27082,2024,1,88.55
20677,2024,2,88.5
22248,2024,2,80.45
21761,2024,1,79.1
19726,2023,2,90
22059,2024,2,87.2
24233,2024,2,83.1
21396,2024,2,74.7
24730,2024,2,81.3
21474,2024,1,85.3
19797,2024,1,78.09
20214,2024,1,0
27017,2024,2,86.25
20815,2024,2,83.45
22810,2024,2,77.34
22748,2024,2,83.87
22187,2024,2,81.72
22426,2024,2,82.45
20672,2024,1,80.7
27151,2024,2,
22563,2025,1,
22016,2025,1,
21705,2024,1,91.8
20368,2023,2,86
23065,2024,2,86
20817,2024,2,86.44
20773,2024,1,88.05
22159,2024,2,87
22832,2024,2,
22502,2024,2,81.25
21708,2024,2,77.03
22865,2023,2,80
20980,2024,2,81.3
21263,2024,2,0
20723,2024,2,
22524,2024,2,90.2
20753,2024,2,87.86
23732,2024,2,80.65
22556,2024,2,82.03
21100,2024,2,88.07
22299,2023,2,89
22518,2024,2,86.55
22805,2024,2,82.51
23039,2024,2,86.12
22487,2024,2,87.75
24536,2024,2,83.1
21534,2024,2,88.93
22278,2024,2,89.3
23178,2024,2,
20301,2024,1,83.75
20909,2024,2,81.61
22712,2024,2,
20988,2024,1,77.55
23117,2024,2,74.42
22243,2025,1,
21024,2024,2,89.14
22804,2024,2,87.07
22073,2024,2,82.3
21443,2024,2,88.71
22497,2025,1,
23688,2024,2,81.6
22113,2024,2,84.55
21009,2024,2,86.62
20672,2024,2,84.33
24144,2024,2,
22497,2024,2,82.1
20785,2024,2,84.93
22919,2024,2,80
22089,2025,1,
20782,2024,2,81.66
19037,2023,2,88
19350,2023,2,90
21410,2023,2,76
18873,2023,1,79
19733,2023,2,79
21619,2023,2,69
19840,2023,2,79
22741,2024,2,86.42
21439,2023,2,86
21196,2023,2,0
18294,2023,2,0
21639,2024,2,90.42
24220,2024,2,83.1
24443,2024,2,
21643,2023,2,76
22025,2024,2,81.4
21010,2024,1,86.75
21652,2023,2,85.8
21085,2024,1,87.7
24172,2024,2,
23157,2024,2,78.71
23561,2024,2,78.9
17622,2024,1,71.38
20986,2023,2,86
23833,2024,2,86.15
22570,2025,1,
20866,2024,1,84.55
21131,2024,1,78.95
22183,2025,1,80.55
22134,2024,2,86.8
27104,2024,2,86.6
27098,2024,1,88.4
24976,2024,1,0
19659,2024,2,
24925,2024,1,0
15942,2024,1,76.45
20855,2024,1,82.35
27016,2024,1,83
