"MAHASISWA","TAHUN","SEMESTER","IPS"
29042,2025,1,3.17
29044,2025,1,2.76
29045,2025,1,3.26
29046,2025,1,3.5
29047,2025,1,3.38
29048,2025,1,3.38
29049,2025,1,3.28
29050,2025,1,3.19
29051,2025,1,2.99
29052,2025,1,3.41
29053,2025,1,3.65
29054,2025,1,3.28
29055,2025,1,2.53
29056,2025,1,3.61
29057,2025,1,3.32
29058,2025,1,3.24
29059,2025,1,3.24
29060,2025,1,3.46
29061,2025,1,3.58
29062,2025,1,2.96
29063,2025,1,3.18
29064,2025,1,3.18
29065,2025,1,3.71
29066,2025,1,3.73
29067,2025,1,3.32
29068,2025,1,3.11
29069,2025,1,3.21
29070,2025,1,2.81
29071,2025,1,3.06
29072,2025,1,3.4
29073,2025,1,3.5
29074,2025,1,3.63
29075,2025,1,3.31
29076,2025,1,3
29077,2025,1,3.11
29078,2025,1,3.45
29079,2025,1,3.39
29080,2025,1,3.4
29081,2025,1,3.07
29082,2025,1,3.48
29083,2025,1,3.43
29084,2025,1,2.96
29085,2025,1,3.5
29086,2025,1,2.36
29087,2025,1,2.3
29088,2025,1,3.02
29089,2025,1,3.25
29090,2025,1,3.49
29091,2025,1,3.18
29092,2025,1,3.45
29093,2025,1,3.08
29094,2025,1,3.21
29095,2025,1,3.02
29096,2025,1,3.21
29097,2025,1,3.18
29098,2025,1,3.38
29099,2025,1,3.36
29102,2025,1,3.03
29103,2025,1,3.22
29117,2025,1,3.25
29118,2025,1,3.5
29119,2025,1,2.98
29121,2025,1,3.29
29122,2025,1,3.51
29123,2025,1,3.41
29124,2025,1,3.53
29125,2025,1,3.4
29126,2025,1,3.65
29127,2025,1,3.23
29129,2025,1,3.55
29130,2025,1,3.4
29131,2025,1,3.18
29135,2025,1,3.58
29137,2025,1,3.16
29139,2025,1,3.08
29140,2025,1,3.65
29143,2025,1,3.46
29144,2025,1,1.5
29145,2025,1,2.63
29146,2025,1,2.82
29147,2025,1,2.64
29149,2025,1,3.24
29150,2025,1,2.7
29154,2025,1,2.68
29155,2025,1,3.21
29156,2025,1,3.35
29158,2025,1,2.75
29159,2025,1,3.08
29160,2025,1,3.43
29162,2025,1,2.95
29163,2025,1,2.9
29164,2025,1,2.83
29165,2025,1,2.93
29166,2025,1,2.88
29167,2025,1,3.3
29168,2025,1,3.68
29169,2025,1,3.39
29170,2025,1,3.05
29171,2025,1,2.63
29172,2025,1,2.78
29173,2025,1,2.48
29174,2025,1,2.8
29175,2025,1,2.75
29176,2025,1,3
29178,2025,1,3.5
29179,2025,1,3.25
29180,2025,1,3.43
29181,2025,1,3.23
29182,2025,1,2.83
29183,2025,1,3.28
29184,2025,1,2.88
29185,2025,1,2.95
29186,2025,1,3.35
29187,2025,1,2.86
29188,2025,1,3.46
29190,2025,1,3.15
29191,2025,1,3.03
29192,2025,1,2.83
29195,2025,1,2.93
29196,2025,1,3.23
29197,2025,1,2.89
29198,2025,1,3.5
29199,2025,1,2.95
29200,2025,1,2.98
29202,2025,1,3.64
29203,2025,1,2.83
29205,2025,1,2.86
29206,2025,1,2.48
29207,2025,1,3.63
29208,2025,1,3.08
29209,2025,1,2.86
29210,2025,1,3.5
29211,2025,1,2.97
29212,2025,1,3.09
29213,2025,1,3.03
29214,2025,1,2.7
29215,2025,1,3.15
29217,2025,1,3.03
29218,2025,1,2.85
29219,2025,1,2.87
29220,2025,1,3.17
29221,2025,1,3.04
29222,2025,1,3.55
29223,2025,1,3.06
29225,2025,1,2.83
29226,2025,1,2.34
29227,2025,1,2.66
29228,2025,1,2.62
29229,2025,1,3.33
29230,2025,1,2.93
29233,2025,1,2.79
29234,2025,1,1.62
29236,2025,1,3
29237,2025,1,2.78
29238,2025,1,2.72
29240,2025,1,3.43
29241,2025,1,2.93
29242,2025,1,3.2
29243,2025,1,3.21
29244,2025,1,3.07
29245,2025,1,2.75
29246,2025,1,2.68
29247,2025,1,3.37
29248,2025,1,3
29249,2025,1,2.88
29250,2025,1,3.21
29251,2025,1,3.09
29252,2025,1,2.7
29253,2025,1,3.08
29254,2025,1,3.1
29256,2025,1,3.27
29257,2025,1,2.75
29258,2025,1,3.26
29260,2025,1,3.26
29263,2025,1,3.09
29264,2025,1,2.71
29265,2025,1,3.2
29268,2025,1,2.69
29270,2025,1,2.84
29271,2025,1,2.73
29272,2025,1,3.23
29273,2025,1,2.33
29274,2025,1,2.62
29275,2025,1,2.59
29276,2025,1,2.96
29277,2025,1,2.95
29278,2025,1,2.91
29279,2025,1,0
29280,2025,1,0
29281,2025,1,0
29282,2025,1,0
29283,2025,1,0
29284,2025,1,2.31
29285,2025,1,2.38
29286,2025,1,0
29288,2025,1,0
29289,2025,1,0
29290,2025,1,0
29291,2025,1,0
29292,2025,1,3.14
29293,2025,1,2.84
29294,2025,1,0
29295,2025,1,0
29297,2025,1,2.88
29298,2025,1,3.43
29299,2025,1,0
29301,2025,1,2.8
29303,2025,1,2.78
29304,2025,1,2.18
29305,2025,1,0
29306,2025,1,2.66
29308,2025,1,2.83
29310,2025,1,3.15
29311,2025,1,3
19055,2025,3,0
21148,2025,3,0
21659,2025,3,0
21722,2025,3,0
22029,2025,3,0
22044,2025,3,0
22065,2025,3,0
22104,2025,3,0
22122,2025,3,0
22358,2025,3,0
22398,2025,3,0
22435,2025,3,0
22448,2025,3,0
22457,2025,3,0
22522,2025,3,0
22531,2025,3,0
22540,2025,3,0
22550,2025,3,0
22632,2025,3,0
22647,2025,3,0
22665,2025,3,0
22844,2025,3,0
23072,2025,3,0
23107,2025,3,0
23113,2025,3,0
23518,2025,3,0
23520,2025,3,0
23572,2025,3,0
23590,2025,3,0
23598,2025,3,0
23602,2025,3,0
23663,2025,3,0
23710,2025,3,0
23711,2025,3,0
23723,2025,3,0
23789,2025,3,0
23801,2025,3,0
23820,2025,3,0
23859,2025,3,0
23871,2025,3,0
23947,2025,3,0
23962,2025,3,0
24007,2025,3,0
24011,2025,3,0
24016,2025,3,0
24032,2025,3,0
24057,2025,3,0
24078,2025,3,0
24080,2025,3,0
24095,2025,3,0
24098,2025,3,0
24133,2025,3,0
24138,2025,3,0
24147,2025,3,0
24175,2025,3,0
24176,2025,3,0
24208,2025,3,0
24221,2025,3,0
24249,2025,3,0
24258,2025,3,0
24311,2025,3,0
24323,2025,3,0
24327,2025,3,0
24330,2025,3,0
24342,2025,3,0
24387,2025,3,0
24391,2025,3,0
24392,2025,3,0
24423,2025,3,0
24452,2025,3,0
24474,2025,3,0
24494,2025,3,0
24524,2025,3,0
24571,2025,3,0
24617,2025,3,0
24618,2025,3,0
24650,2025,3,0
24729,2025,3,0
25013,2025,3,0
25018,2025,3,0
25301,2025,3,0
25303,2025,3,0
25313,2025,3,0
25316,2025,3,0
25324,2025,3,0
25348,2025,3,0
25365,2025,3,0
25371,2025,3,0
25381,2025,3,0
25382,2025,3,0
25392,2025,3,0
25395,2025,3,0
25407,2025,3,0
25411,2025,3,0
25412,2025,3,0
25441,2025,3,0
25450,2025,3,0
25451,2025,3,0
25467,2025,3,0
25491,2025,3,0
25499,2025,3,0
25502,2025,3,0
25530,2025,3,0
25576,2025,3,0
25578,2025,3,0
25611,2025,3,0
25615,2025,3,0
25639,2025,3,0
25640,2025,3,0
25649,2025,3,0
25659,2025,3,0
25669,2025,3,0
25681,2025,3,0
25693,2025,3,0
25698,2025,3,0
25699,2025,3,0
25780,2025,3,0
25793,2025,3,0
25805,2025,3,0.6
25819,2025,3,0
25820,2025,3,0
25852,2025,3,0
25853,2025,3,0
25863,2025,3,0
25867,2025,3,3
25882,2025,3,0
25897,2025,3,0
25936,2025,3,0
25990,2025,3,0
26044,2025,3,0
26051,2025,3,0
26075,2025,3,0
26078,2025,3,0
26094,2025,3,0
26096,2025,3,0
26101,2025,3,0
26124,2025,3,0
26131,2025,3,0
26160,2025,3,0
26180,2025,3,0
26203,2025,3,0
26213,2025,3,0
26215,2025,3,0
26230,2025,3,0
26233,2025,3,0
26244,2025,3,0
26258,2025,3,0
26273,2025,3,0
26279,2025,3,0
26292,2025,3,3
26308,2025,3,0
26322,2025,3,0
26327,2025,3,0
26356,2025,3,0
26387,2025,3,0
26392,2025,3,0
26401,2025,3,0
26411,2025,3,0
26412,2025,3,0
26418,2025,3,0
26474,2025,3,0
26487,2025,3,0
26488,2025,3,0
26489,2025,3,0
26506,2025,3,0
26509,2025,3,0
26512,2025,3,0
26515,2025,3,0
26546,2025,3,0
26556,2025,3,0
26566,2025,3,0
26571,2025,3,0
26583,2025,3,0
26588,2025,3,0
26592,2025,3,0
26595,2025,3,0
26601,2025,3,0
26605,2025,3,0
26617,2025,3,0
26626,2025,3,0
26633,2025,3,3
26642,2025,3,0
26647,2025,3,0
26653,2025,3,0
26667,2025,3,0
26670,2025,3,0
26684,2025,3,0
26694,2025,3,0
26697,2025,3,0
26703,2025,3,0
26815,2025,3,0
26836,2025,3,0
26840,2025,3,0
26847,2025,3,0
26851,2025,3,0
26859,2025,3,0
26862,2025,3,0
26877,2025,3,0
26896,2025,3,0
26906,2025,3,0
26916,2025,3,0
26953,2025,3,0
26976,2025,3,0
26988,2025,3,0
26989,2025,3,0
27031,2025,3,0
27051,2025,3,0
27056,2025,3,0
27085,2025,3,0
27088,2025,3,0
27095,2025,3,0
27121,2025,3,0
27122,2025,3,0
27146,2025,3,0
27147,2025,3,0
27149,2025,3,0
27158,2025,3,0
27167,2025,3,0
27172,2025,3,0
27179,2025,3,0
27214,2025,3,0
27218,2025,3,0
27229,2025,3,0
27247,2025,3,0
27252,2025,3,0
27260,2025,3,0
27261,2025,3,0
27264,2025,3,0
27276,2025,3,0
27278,2025,3,0
27280,2025,3,0
27287,2025,3,0
27288,2025,3,0
27297,2025,3,0
27302,2025,3,0
27303,2025,3,0
27304,2025,3,0
27308,2025,3,0
27320,2025,3,0
27330,2025,3,0
27338,2025,3,0
27346,2025,3,0
27357,2025,3,0
27373,2025,3,0
27376,2025,3,0
27385,2025,3,0
27391,2025,3,0
27397,2025,3,0
27405,2025,3,0
27406,2025,3,0
27415,2025,3,0
27424,2025,3,0
27426,2025,3,0
27427,2025,3,0
27432,2025,3,0
27446,2025,3,0
27467,2025,3,0
27478,2025,3,0
27488,2025,3,0
27495,2025,3,0
27499,2025,3,0
27506,2025,3,0
27508,2025,3,0
27516,2025,3,0
27524,2025,3,0
27536,2025,3,0
27537,2025,3,0
27589,2025,3,0
27608,2025,3,0
27615,2025,3,0
27632,2025,3,0
27649,2025,3,0
27657,2025,3,0
27659,2025,3,0
27663,2025,3,0
27666,2025,3,0
27667,2025,3,0
27673,2025,3,0
27675,2025,3,0
27680,2025,3,0
27687,2025,3,0
27696,2025,3,0
27697,2025,3,0
27700,2025,3,0
27716,2025,3,0
27718,2025,3,0
27723,2025,3,0
27724,2025,3,0
27759,2025,3,0
27773,2025,3,0
27778,2025,3,0
27789,2025,3,0
27797,2025,3,0
27805,2025,3,0
27814,2025,3,0
27828,2025,3,0
27837,2025,3,0
27849,2025,3,0
27873,2025,3,0
27900,2025,3,0
27903,2025,3,0
27911,2025,3,0
27914,2025,3,0
27920,2025,3,0
27933,2025,3,0
27968,2025,3,0
27969,2025,3,0
27974,2025,3,0
27977,2025,3,0
27981,2025,3,0
27987,2025,3,0
27989,2025,3,0
28015,2025,3,0
28017,2025,3,0
28073,2025,3,0
28083,2025,3,0
28085,2025,3,0
28099,2025,3,0
28100,2025,3,0
28131,2025,3,0
28133,2025,3,0
28136,2025,3,0
28138,2025,3,0
28143,2025,3,3.5
28148,2025,3,0
28173,2025,3,0
28175,2025,3,0
28182,2025,3,0
28184,2025,3,0
28186,2025,3,0
28189,2025,3,3.5
28198,2025,3,0
28227,2025,3,0
28231,2025,3,0
28241,2025,3,0
28245,2025,3,0
28251,2025,3,0
28254,2025,3,0
28264,2025,3,0
28268,2025,3,0
28269,2025,3,0
28299,2025,3,0
28317,2025,3,0
28329,2025,3,0
28338,2025,3,0
28356,2025,3,0
28360,2025,3,0
28361,2025,3,0
28402,2025,3,0
28410,2025,3,0
28412,2025,3,3.25
28416,2025,3,0
28418,2025,3,0
28420,2025,3,0
28424,2025,3,0
28441,2025,3,0
28442,2025,3,0
28443,2025,3,0
28448,2025,3,0
28456,2025,3,0
28460,2025,3,0
28465,2025,3,0
28467,2025,3,0
28470,2025,3,0
28478,2025,3,0
28484,2025,3,0
28485,2025,3,0
28496,2025,3,0
28505,2025,3,0
28516,2025,3,0
28518,2025,3,0
28519,2025,3,2
28520,2025,3,0
28522,2025,3,0
28541,2025,3,0
28543,2025,3,0
28547,2025,3,0
28551,2025,3,0
28552,2025,3,0
28553,2025,3,0
28555,2025,3,0
28557,2025,3,0
28560,2025,3,0
28566,2025,3,0
28574,2025,3,0
28582,2025,3,0
28598,2025,3,0
28600,2025,3,0
28604,2025,3,0
28614,2025,3,0
28622,2025,3,0
28645,2025,3,0
28666,2025,3,0
28686,2025,3,0
28688,2025,3,0
28692,2025,3,0
28707,2025,3,0
28712,2025,3,0
28720,2025,3,0
28724,2025,3,0
28725,2025,3,0
28730,2025,3,0
28744,2025,3,0
28756,2025,3,0
28768,2025,3,0
28773,2025,3,0
28775,2025,3,0
28779,2025,3,0
28786,2025,3,0
28787,2025,3,0
28809,2025,3,0
28814,2025,3,0
28815,2025,3,0
28843,2025,3,0
28844,2025,3,0
28845,2025,3,0
28854,2025,3,0
28871,2025,3,0
28872,2025,3,0
28880,2025,3,0
28883,2025,3,0
28886,2025,3,0
28887,2025,3,0
28894,2025,3,0
28898,2025,3,0
28900,2025,3,0
28901,2025,3,0
28904,2025,3,0
28916,2025,3,0
28924,2025,3,0
28925,2025,3,0
28928,2025,3,0
28932,2025,3,0
28933,2025,3,0
28943,2025,3,0
28956,2025,3,0
28957,2025,3,0
28964,2025,3,0
28966,2025,3,0
28967,2025,3,0
28969,2025,3,0
28979,2025,3,0
28985,2025,3,0
28995,2025,3,0
28996,2025,3,0
29000,2025,3,0
29002,2025,3,0
29003,2025,3,0
29004,2025,3,0
29007,2025,3,0
29009,2025,3,0
29011,2025,3,0
29012,2025,3,0
29013,2025,3,0
29016,2025,3,0
29017,2025,3,0
29022,2025,3,0
29024,2025,3,0
29028,2025,3,0
29033,2025,3,0
29039,2025,3,0
29040,2025,3,0
29042,2025,3,0
29044,2025,3,0
29049,2025,3,0
29055,2025,3,0
29057,2025,3,0
29062,2025,3,0
29070,2025,3,0
29084,2025,3,0
29086,2025,3,0
29087,2025,3,0
29091,2025,3,0
29095,2025,3,0
29119,2025,3,0
29139,2025,3,0
29144,2025,3,0
29190,2025,3,0
29223,2025,3,0
29225,2025,3,0
29226,2025,3,0
29233,2025,3,0
29234,2025,3,0
29241,2025,3,0
29249,2025,3,0
29270,2025,3,0
29273,2025,3,0
29278,2025,3,0
29285,2025,3,0
29297,2025,3,0
29308,2025,3,0
29310,2025,3,0
27894,2025,1,3.43
27895,2025,1,3.41
27896,2025,1,3.5
27897,2025,1,3.2
27898,2025,1,3.6
27899,2025,1,3.54
27900,2025,1,3
27901,2025,1,3.53
27902,2025,1,3.88
27903,2025,1,2.83
27904,2025,1,3.28
27905,2025,1,3.25
27906,2025,1,3.56
27907,2025,1,3.67
27909,2025,1,3.58
27910,2025,1,3.58
27911,2025,1,3.02
27912,2025,1,3.56
27913,2025,1,3.47
27914,2025,1,3
27916,2025,1,3.38
27917,2025,1,3.21
27918,2025,1,3.79
27919,2025,1,3.47
27920,2025,1,3.19
27921,2025,1,3.68
27922,2025,1,3.53
27923,2025,1,3.53
27924,2025,1,3.29
27925,2025,1,3.9
27926,2025,1,3.2
27927,2025,1,3.2
27928,2025,1,3.68
27929,2025,1,3.85
27930,2025,1,3.78
27931,2025,1,3.68
27932,2025,1,3.56
27933,2025,1,3.1
27934,2025,1,3.54
27935,2025,1,3.63
27937,2025,1,3.67
27938,2025,1,3.6
27940,2025,1,3.45
27941,2025,1,3.45
27942,2025,1,3.55
27943,2025,1,3.5
27944,2025,1,3.85
27945,2025,1,3.63
27946,2025,1,3.63
27947,2025,1,3.64
27948,2025,1,3.6
27949,2025,1,3.43
27950,2025,1,3.29
27951,2025,1,3.57
27952,2025,1,3.57
27953,2025,1,3.56
27954,2025,1,3.46
27955,2025,1,3.69
27956,2025,1,3.43
27957,2025,1,3.78
27958,2025,1,3.3
27961,2025,1,3.54
27962,2025,1,3.67
27963,2025,1,3.33
27964,2025,1,3.16
27965,2025,1,3.43
27966,2025,1,3.22
27967,2025,1,3.64
27968,2025,1,3.34
27969,2025,1,3.04
27970,2025,1,3.33
27971,2025,1,3.38
27972,2025,1,3.6
27973,2025,1,3.72
27974,2025,1,3.1
27975,2025,1,3.81
27976,2025,1,3.5
27977,2025,1,3.13
27978,2025,1,3.44
27979,2025,1,3.75
27980,2025,1,3.58
27981,2025,1,3.2
27982,2025,1,3.16
27983,2025,1,3.65
27984,2025,1,3.42
27985,2025,1,3.72
27986,2025,1,3.61
27987,2025,1,2.8
27988,2025,1,3.54
27989,2025,1,2.89
27990,2025,1,3.25
27991,2025,1,3.76
27992,2025,1,3.54
27994,2025,1,3.39
27995,2025,1,3.7
27996,2025,1,3.85
27997,2025,1,3.24
27998,2025,1,3.56
27999,2025,1,3.65
28008,2025,1,3.46
28009,2025,1,3.73
28014,2025,1,3.19
28015,2025,1,2.95
28016,2025,1,3.83
28017,2025,1,3.05
28018,2025,1,3.62
28019,2025,1,3.7
28024,2025,1,3.35
28025,2025,1,3.36
28026,2025,1,3.48
28027,2025,1,3.08
28028,2025,1,3.17
28029,2025,1,3.63
28030,2025,1,3.58
28031,2025,1,3.36
28033,2025,1,3.5
28035,2025,1,3.7
28036,2025,1,3.5
28037,2025,1,3.6
28039,2025,1,3.36
28040,2025,1,3.6
28041,2025,1,3.63
28042,2025,1,3.6
28043,2025,1,3.51
28044,2025,1,3.45
28045,2025,1,3.29
28047,2025,1,3.53
28048,2025,1,3.78
28049,2025,1,3.59
28054,2025,1,3.34
28055,2025,1,3.58
28056,2025,1,3.68
28057,2025,1,3.28
28059,2025,1,3.67
28060,2025,1,3.5
28061,2025,1,3.61
28062,2025,1,3.7
28063,2025,1,3.45
28064,2025,1,3.55
28068,2025,1,3.21
28069,2025,1,3.14
28071,2025,1,3.51
28072,2025,1,3.8
28073,2025,1,3.06
28074,2025,1,3.61
28075,2025,1,3.28
28076,2025,1,3.75
28077,2025,1,3.41
28078,2025,1,3.65
28079,2025,1,3.6
28080,2025,1,3.83
28081,2025,1,3.15
28082,2025,1,3.45
28083,2025,1,2.92
28085,2025,1,3.12
28086,2025,1,3.65
28087,2025,1,3.16
28088,2025,1,3.82
28089,2025,1,3.63
28090,2025,1,3.63
28092,2025,1,3.7
28093,2025,1,3.63
28094,2025,1,3.69
28095,2025,1,3.7
28096,2025,1,3.46
28097,2025,1,3.83
28098,2025,1,3.53
28099,2025,1,3.01
28100,2025,1,3.09
28110,2025,1,3.55
28111,2025,1,3.67
28112,2025,1,2.86
28113,2025,1,3.73
28114,2025,1,3.31
28115,2025,1,3.54
28116,2025,1,3.5
28117,2025,1,3.67
28118,2025,1,3.29
28119,2025,1,3.5
28120,2025,1,2.76
28121,2025,1,3.83
28122,2025,1,3.78
28124,2025,1,3.57
28125,2025,1,3.33
28126,2025,1,3.44
28127,2025,1,3.6
28128,2025,1,3.3
28129,2025,1,3.45
28130,2025,1,3.8
28131,2025,1,3.29
28132,2025,1,3.39
28133,2025,1,2.73
28134,2025,1,3.59
28135,2025,1,3.65
28136,2025,1,3.08
28137,2025,1,3.13
28138,2025,1,2.54
28139,2025,1,3.75
28140,2025,1,3.43
28141,2025,1,3.46
28142,2025,1,3.85
28143,2025,1,3.33
28144,2025,1,3.53
28145,2025,1,3.53
28146,2025,1,3.38
28147,2025,1,3.8
28148,2025,1,2.13
28149,2025,1,3.58
28150,2025,1,3.69
28151,2025,1,3.56
28152,2025,1,3.5
28153,2025,1,3.5
28154,2025,1,3.65
28155,2025,1,3.73
28156,2025,1,3.34
28157,2025,1,3.44
28158,2025,1,3.39
28159,2025,1,3.44
28160,2025,1,3.06
28161,2025,1,3.41
28162,2025,1,3.44
28163,2025,1,3.75
28164,2025,1,3.57
28165,2025,1,3.82
28166,2025,1,3.53
28167,2025,1,3.7
28168,2025,1,3.35
28169,2025,1,3.13
28170,2025,1,3.31
28171,2025,1,2.94
28172,2025,1,3.18
28173,2025,1,3.16
28174,2025,1,3.19
28175,2025,1,3.1
28176,2025,1,3.75
28177,2025,1,3.39
28178,2025,1,3.83
28179,2025,1,3.58
28180,2025,1,3.44
28181,2025,1,3.61
28182,2025,1,1.81
28183,2025,1,3.39
28184,2025,1,3.24
28185,2025,1,3.3
28186,2025,1,3.12
28187,2025,1,3.47
28188,2025,1,3.47
28189,2025,1,3.4
28190,2025,1,3.24
28191,2025,1,3.64
28192,2025,1,3.53
28193,2025,1,3.43
28194,2025,1,3.78
28195,2025,1,3.14
28196,2025,1,3.28
28197,2025,1,2.86
28198,2025,1,3.1
28199,2025,1,3.35
28200,2025,1,3.05
28202,2025,1,3.45
28203,2025,1,3.8
28204,2025,1,3.54
28205,2025,1,3.28
28207,2025,1,3.43
28208,2025,1,3.17
28209,2025,1,3.45
28210,2025,1,3.15
28211,2025,1,3.93
28213,2025,1,3.36
28214,2025,1,3.65
28215,2025,1,3.53
28216,2025,1,3.28
28218,2025,1,3.5
28219,2025,1,3.34
28220,2025,1,3.36
28221,2025,1,3.42
28222,2025,1,3.1
28223,2025,1,3.03
28224,2025,1,3.33
28225,2025,1,3.66
28226,2025,1,3.58
28227,2025,1,3.03
28228,2025,1,3.21
28229,2025,1,3.66
28231,2025,1,3.15
28232,2025,1,3.6
28233,2025,1,3.01
28234,2025,1,3.35
28235,2025,1,3.24
28236,2025,1,3.57
28237,2025,1,3.28
28238,2025,1,3.22
28239,2025,1,3.25
28240,2025,1,3.44
28241,2025,1,2.91
28242,2025,1,3.56
28243,2025,1,3.28
28244,2025,1,3.72
28245,2025,1,0.58
28246,2025,1,3.36
28247,2025,1,3.16
28248,2025,1,3.73
28249,2025,1,3.64
28250,2025,1,3.41
28251,2025,1,2.97
28252,2025,1,3.28
28253,2025,1,3.8
28254,2025,1,2.84
28255,2025,1,3.74
28256,2025,1,3.58
28257,2025,1,3.33
28258,2025,1,3.6
28259,2025,1,3.28
28260,2025,1,3.75
28261,2025,1,3.44
28262,2025,1,3.65
28264,2025,1,3.11
28265,2025,1,3.64
28266,2025,1,3.39
28267,2025,1,3.2
28268,2025,1,3.14
28269,2025,1,3.03
28270,2025,1,3.56
28271,2025,1,3.09
28272,2025,1,3.39
28273,2025,1,3.15
28274,2025,1,3.56
28275,2025,1,3.44
28277,2025,1,3.48
28278,2025,1,3.41
28292,2025,1,3.83
28295,2025,1,3.7
28296,2025,1,3.35
28297,2025,1,3.67
28298,2025,1,3.69
28299,2025,1,3.25
28300,2025,1,3.37
28301,2025,1,3.73
28302,2025,1,3.67
28303,2025,1,3.53
28304,2025,1,3.5
28305,2025,1,3.43
28306,2025,1,3.42
28307,2025,1,3.43
28308,2025,1,3.37
28313,2025,1,3.6
28314,2025,1,3.25
28315,2025,1,3.63
28316,2025,1,3.69
28317,2025,1,0
28318,2025,1,3.36
28319,2025,1,3.3
28320,2025,1,3.13
28321,2025,1,3.49
28322,2025,1,2.87
28323,2025,1,3.83
28324,2025,1,3.55
28325,2025,1,3.3
28326,2025,1,3.65
28327,2025,1,3.25
28328,2025,1,3.63
28329,2025,1,2.73
28330,2025,1,3.28
28331,2025,1,3.53
28333,2025,1,3.54
28334,2025,1,3.16
28336,2025,1,3.58
28337,2025,1,3.18
28338,2025,1,3.08
28339,2025,1,3.55
28340,2025,1,3.51
28341,2025,1,2.98
28342,2025,1,3.55
28343,2025,1,3.7
28346,2025,1,3.53
28347,2025,1,3.09
28348,2025,1,3.21
28349,2025,1,3.18
28350,2025,1,3.25
28351,2025,1,3.63
28352,2025,1,3.53
28353,2025,1,3.65
28354,2025,1,3.13
28355,2025,1,3.43
28356,2025,1,2.93
28357,2025,1,3.6
28358,2025,1,3.67
28360,2025,1,3.43
28361,2025,1,2.67
28362,2025,1,3.55
28363,2025,1,3.53
28364,2025,1,3.53
28365,2025,1,3.11
28366,2025,1,3.49
28367,2025,1,3.45
28368,2025,1,3.32
28369,2025,1,3.63
28370,2025,1,3.58
28371,2025,1,3.25
28372,2025,1,3.73
28374,2025,1,3.36
28376,2025,1,3.58
28377,2025,1,3.58
28378,2025,1,3.6
28379,2025,1,3.45
28380,2025,1,3.34
28391,2025,1,3.15
28392,2025,1,3
28393,2025,1,3.35
28394,2025,1,3
28395,2025,1,3.32
28397,2025,1,3.08
28398,2025,1,3.42
28399,2025,1,3.05
28400,2025,1,3.14
28401,2025,1,3.45
28402,2025,1,3.26
28403,2025,1,3.43
