"NOMOR";"PROGRAM";"JURUSAN";"KELAS";"PARAREL";"KODE";"KODE_KELAS_ABSEN";"KODE_EPSBED";"KONSENTRASI";"WALI_KELAS"
327;24;4;3;"B";"3 PD ITA-LB D3";"3DB3";"";;
328;4;9;1;"D";"1 GMD STr";"1GD4";"R";;
344;4;1;1;"D";"1 ED STr";"1ED4";"";;
345;4;2;1;"D";"1 TD STr";"1TD4";"";;
346;4;3;1;"D";"1 LD STr";"1LD4";"";;
347;4;4;1;"D";"1 ID STr";"1ID4";"";;
348;4;5;1;"C";"1 MC STr";"1MC4";"R";;
349;4;8;1;"C";"1 SPC STr";"1PC4";"";;
355;4;1;1;"E";"1 EE STr";"1EE4";"";;
356;4;5;1;"D";"1 MD STr";"1MD4";"R";;
357;4;6;1;"D";"1 TKD STr";"1KD4";"";;
358;4;8;1;"D";"1 SPD STr";"1PD4";"";;
359;4;10;1;"C";"1 RIC STr";"1YC4";"";;
360;4;11;1;"C";"1 RMC STr";"1UC4";"";;
361;4;12;1;"C";"1 SDC STr";"1SC4";"";;
